library,scheme,N,category,grid_depth,effective_depth,trial,step_index,step_name,noise_budget_bits,status
SEAL,BFV,2048,1,0,0,0,0,fresh,0,measured
SEAL,BFV,2048,1,0,0,0,1,after_add,0,measured
SEAL,BFV,2048,1,0,0,1,0,fresh,0,measured
SEAL,BFV,2048,1,0,0,1,1,after_add,0,measured
SEAL,BFV,2048,1,0,0,2,0,fresh,0,measured
SEAL,BFV,2048,1,0,0,2,1,after_add,0,measured
SEAL,BFV,2048,1,0,0,3,0,fresh,0,measured
SEAL,BFV,2048,1,0,0,3,1,after_add,0,measured
SEAL,BFV,2048,1,0,0,4,0,fresh,0,measured
SEAL,BFV,2048,1,0,0,4,1,after_add,0,measured
SEAL,BFV,2048,1,0,0,5,0,fresh,0,measured
SEAL,BFV,2048,1,0,0,5,1,after_add,0,measured
SEAL,BFV,2048,1,0,0,6,0,fresh,0,measured
SEAL,BFV,2048,1,0,0,6,1,after_add,0,measured
SEAL,BFV,2048,1,0,0,7,0,fresh,0,measured
SEAL,BFV,2048,1,0,0,7,1,after_add,0,measured
SEAL,BFV,2048,1,0,0,8,0,fresh,0,measured
SEAL,BFV,2048,1,0,0,8,1,after_add,0,measured
SEAL,BFV,2048,1,0,0,9,0,fresh,0,measured
SEAL,BFV,2048,1,0,0,9,1,after_add,0,measured
SEAL,BFV,2048,3,0,0,0,0,fresh,6,measured
SEAL,BFV,2048,3,0,0,0,1,after_add,6,measured
SEAL,BFV,2048,3,0,0,1,0,fresh,6,measured
SEAL,BFV,2048,3,0,0,1,1,after_add,6,measured
SEAL,BFV,2048,3,0,0,2,0,fresh,6,measured
SEAL,BFV,2048,3,0,0,2,1,after_add,6,measured
SEAL,BFV,2048,3,0,0,3,0,fresh,6,measured
SEAL,BFV,2048,3,0,0,3,1,after_add,6,measured
SEAL,BFV,2048,3,0,0,4,0,fresh,6,measured
SEAL,BFV,2048,3,0,0,4,1,after_add,6,measured
SEAL,BFV,2048,3,0,0,5,0,fresh,6,measured
SEAL,BFV,2048,3,0,0,5,1,after_add,6,measured
SEAL,BFV,2048,3,0,0,6,0,fresh,6,measured
SEAL,BFV,2048,3,0,0,6,1,after_add,6,measured
SEAL,BFV,2048,3,0,0,7,0,fresh,6,measured
SEAL,BFV,2048,3,0,0,7,1,after_add,6,measured
SEAL,BFV,2048,3,0,0,8,0,fresh,6,measured
SEAL,BFV,2048,3,0,0,8,1,after_add,6,measured
SEAL,BFV,2048,3,0,0,9,0,fresh,6,measured
SEAL,BFV,2048,3,0,0,9,1,after_add,5,measured
SEAL,BFV,4096,1,1,1,0,0,fresh,46,measured
SEAL,BFV,4096,1,1,1,0,1,after_add,45,measured
SEAL,BFV,4096,1,1,1,0,2,after_multiply_1,15,measured
SEAL,BFV,4096,1,1,1,0,3,after_relinearize_1,15,measured
SEAL,BFV,4096,1,1,1,1,0,fresh,46,measured
SEAL,BFV,4096,1,1,1,1,1,after_add,45,measured
SEAL,BFV,4096,1,1,1,1,2,after_multiply_1,15,measured
SEAL,BFV,4096,1,1,1,1,3,after_relinearize_1,15,measured
SEAL,BFV,4096,1,1,1,2,0,fresh,46,measured
SEAL,BFV,4096,1,1,1,2,1,after_add,45,measured
SEAL,BFV,4096,1,1,1,2,2,after_multiply_1,15,measured
SEAL,BFV,4096,1,1,1,2,3,after_relinearize_1,15,measured
SEAL,BFV,4096,1,1,1,3,0,fresh,46,measured
SEAL,BFV,4096,1,1,1,3,1,after_add,45,measured
SEAL,BFV,4096,1,1,1,3,2,after_multiply_1,14,measured
SEAL,BFV,4096,1,1,1,3,3,after_relinearize_1,14,measured
SEAL,BFV,4096,1,1,1,4,0,fresh,46,measured
SEAL,BFV,4096,1,1,1,4,1,after_add,45,measured
SEAL,BFV,4096,1,1,1,4,2,after_multiply_1,15,measured
SEAL,BFV,4096,1,1,1,4,3,after_relinearize_1,15,measured
SEAL,BFV,4096,1,1,1,5,0,fresh,46,measured
SEAL,BFV,4096,1,1,1,5,1,after_add,45,measured
SEAL,BFV,4096,1,1,1,5,2,after_multiply_1,14,measured
SEAL,BFV,4096,1,1,1,5,3,after_relinearize_1,14,measured
SEAL,BFV,4096,1,1,1,6,0,fresh,46,measured
SEAL,BFV,4096,1,1,1,6,1,after_add,45,measured
SEAL,BFV,4096,1,1,1,6,2,after_multiply_1,15,measured
SEAL,BFV,4096,1,1,1,6,3,after_relinearize_1,15,measured
SEAL,BFV,4096,1,1,1,7,0,fresh,46,measured
SEAL,BFV,4096,1,1,1,7,1,after_add,45,measured
SEAL,BFV,4096,1,1,1,7,2,after_multiply_1,14,measured
SEAL,BFV,4096,1,1,1,7,3,after_relinearize_1,14,measured
SEAL,BFV,4096,1,1,1,8,0,fresh,46,measured
SEAL,BFV,4096,1,1,1,8,1,after_add,45,measured
SEAL,BFV,4096,1,1,1,8,2,after_multiply_1,15,measured
SEAL,BFV,4096,1,1,1,8,3,after_relinearize_1,15,measured
SEAL,BFV,4096,1,1,1,9,0,fresh,46,measured
SEAL,BFV,4096,1,1,1,9,1,after_add,45,measured
SEAL,BFV,4096,1,1,1,9,2,after_multiply_1,15,measured
SEAL,BFV,4096,1,1,1,9,3,after_relinearize_1,15,measured
SEAL,BFV,4096,3,0,0,0,0,fresh,10,measured
